Автор;Название;Год издания;Издательство, год;Цена, руб;Арт.;Описание
Гудрик-Кларк Николас;Оккультные корни нацизма;1985;Яуза, 2023;389;200489;Был ли оккультизм широко распространен в Третьем рейхе? Почему лидеры тайных обществ стали наставниками лидеров нацистской Германии? Известный английский ученый Николас Гудрик-Кларк (1953-2012) был одним из лучших специалистов по эзотерике. В 1985 г. он опубликовал свою главную книгу "Оккультные корни нацизма", ставшую мировым бестселлером. В этой работе Гудрик-Кларк впервые с научной точки зрения доказал влияние различных германо-арийских идей и обществ на руководство и идеологию нацистов. Пангерманизм, вотанизм, арманизм и ариософия были очень популярны среди немецких националистов, но и нацисты черпали вдохновение в этих идеях и принимали их на вооружение. Гвидо фон Лист, Йорг Ланц фон Либенфельс, Рудольф фон Зеботтендорф и Карл Мария Виллигут повлияли на мировоззрение вождей Третьего рейха. Автор рассказывает, как общества "Туле" и "Эдда", орден новых тамплиеров и другие более мелкие оккультные организации оказались связаны с нацистской партией и почему христианство при Гитлере оказалось в тени оккультизма.
Джордж Оруэлл;1984;1949;Дримбук, 2021;539;804620;Культовый роман Джорджа Оруэлла, одна из главных антиутопий XX века. Жуткий и пугающий текст, и 70 лет спустя не утративший актуальности. Впервые «1984» публикуется на русском языке в новом, полном, без цензуры и купюр, переводе Дарьи Целовальниковой.
Лев Толстой;Война и мир;1869;АСТ, 2020;899;785738;Величайшее произведение мировой литературы, в котором автор мастерски раскрывает темы войны, любви, верности и человеческой судьбы. Роман, охватывающий эпоху Наполеоновских войн, знакомит читателя с судьбами несколько поколений русских аристократов, чьи жизни переплетаются с судьбами простых людей, переживающих одно из самых драматичных и судьбоносных событий в истории. Толстой создал монументальную картину России, полного внутреннего разлада и внешних угроз, где каждый герой сталкивается с личной трагедией и поисками смысла жизни.
Фёдор Достоевский;Преступление и наказание;1866;Эксмо, 2018;849;159320;Это философский триллер, в котором Достоевский исследует моральные дилеммы и тёмные стороны человеческой души. Молодой студент Родион Раскольников решает совершить убийство, убеждая себя, что он имеет право на убийство ради "высшей цели". Роман погружает в глубокие размышления о добре и зле, преступлении и искуплении. Рассматривается не только философская, но и психологическая борьба героя с собственным сознанием, что делает произведение настолько актуальным и современным.
Антуан де Сент-Экзюпери;Маленький принц;1943;Рипол классик, 2015;449;998400;Эта трогательная и мудрая история о путешествиях маленького принца по вселенной является философской сказкой, которая раскрывает самые глубокие человеческие истины. Маленький принц учит нас смотреть на мир глазами ребёнка, не забывать о важности дружбы, любви и ответственности. Сент-Экзюпери, через образы розы и лиса, раскрывает смысл жизни, который заключён не в материальном, а в невидимом и важном. Это книга для взрослых и детей, в которой находится невероятная гармония простоты и глубины.
Харуки Мураками;Кафка на пляже;2002;Время, 2021;629;201488;Сложный и многослойный роман, в котором реальность переплетается с фантастическими элементами. Молодой парень по имени Кафка Тамаки отправляется в путешествие, стремясь найти свой внутренний путь и освободиться от тени своего отца. Вторая сюжетная линия посвящена старому музыканту, который потерял способность говорить, но сохраняет невероятные способности. Мураками в этом произведении снова с лёгкостью сочетает магический реализм, элементы японской культуры и философию, погружая читателя в удивительный мир с тонким психологизмом и поисками самого себя.
Джейн Остин;Гордость и предубеждение;1813;Речь, 2017;539;678901;Этот роман — настоящее произведение искусства в жанре социального романа. В нём Остин ярко и остроумно раскрывает жизнь английского общества конца XVIII — начала XIX века, на фоне которого разворачивается история любви между Элизабет Беннет и мистером Дарси. Остин с удивительным вниманием и сарказмом описывает характеры героев, их пороки и достоинства, в то время как центральная тема произведения — это борьба между личным счастьем и социальными предрассудками, а также уроки гордости, предвзятости и прощения.
Маргарет Этвуд;Рассказ служанки;1985;АСТ, 2018;499;581293;Эта антиутопия представляет собой жуткое будущее, где женщины лишены всех прав и свобод, ставши лишь воспроизводящими устройствами для человеческого рода. Через глаз служанки, Гэйл, читатель видит жестокий и контролируемый мир, где любой акт сопротивления карается жестокой смертью. Этвуд затрагивает актуальные проблемы современности — контроль над телом, права женщин, идеи о гендерных ролях и власти. Этот роман — глубокая и тревожная метафора, предупреждающая о возможных последствиях социального упадка и злоупотреблений властью.
Лев Толстой;Анна Каренина;1877;Эксмо, 2017;799;312456;Этот роман является не только трагической историей о женщине, оказавшейся в центре социального скандала, но и глубокой философской работой, исследующей вопросы любви, верности и морального выбора. В нем ярко отображены особенности русской жизни XIX века, проблемы брака, поисков счастья, а также внутренней борьбы между долгом и желанием. Анна Каренина – это символ любви, страха и внутреннего разлада, который разрушает её жизнь.
Фёдор Достоевский;Братья Карамазовы;1880;АСТ, 2020;799;145678;Один из величайших романов Фёдора Достоевского, в котором затрагиваются глубокие философские вопросы о вере, сомнении, нравственности и судьбе человека. История о трёх братьях, каждый из которых олицетворяет различные философские позиции, раскрывает духовные и моральные поиски человечества, показывая трагическую борьбу между личной свободой и моральными нормами общества.
Антуан де Сент-Экзюпери;Ночной полёт;1931;Рипол классик, 2014;399;500093;Экзюпери в этом произведении мастерски передаёт напряжённую атмосферу ночного полёта, где каждый момент на грани жизни и смерти. Этот рассказ о пилотах, выполняющих опасные миссии, посвящён человеческому мужеству, ответственности и цене одиночества, с которым сталкиваются люди, пытающиеся побеждать стихии природы в экстремальных условиях.
Харуки Мураками;1Q84;2009;Время, 2012;439;532312;В этом романе Мураками исследует параллельные миры, переплетение судеб и магический реализм. «1Q84» сочетает в себе элементы любовного романа и философской повести о том, как искажённая реальность влияет на восприятие людей, и как они сталкиваются с вопросами идентичности, одиночества и судьбы. Это произведение погружает в мир странных совпадений и поиска себя в пределах параллельных реальностей.
Джейн Остин;Эмма;1815;Речь, 2016;699;412909;Эмма Вудхаус — героиня, которая намерена устроить жизни своих друзей и найти для них идеальные пары, не осознавая, что она сама может стать предметом любви и страсти. Эта лёгкая, но остроумная комедия о социальном положении, предвзятости и иронии судьбы затрагивает множество тем, от женской эмансипации до классовых различий и манипуляций в любовных отношениях.
Маргарет Этвуд;Орыкун;2000;Азбука, 2019;399;582930;В этом антиутопическом романе Этвуд описывает мир, в котором правительства контролируют жизнь каждого человека, лишая его свободы и права на индивидуальность. Образ жизни главных героинь - служанок, вынужденных выполнять приказы и воспроизводить детей, символизирует глобальное угнетение женщин в обществе. История затрагивает вопросы власти, контроля и свободы выбора, а также борьбу за права человека в условиях жестокой тирании.
Джордж Оруэлл;Животный фермер;1945;Азбука, 2017;559;223419;«Животный фермер» — это политическая аллегория, в которой через судьбу животных, пытающихся освободиться от человеческого ига, показана трагедия революции и искажение её идеалов. Оруэлл критикует коррупцию власти и власть, использующую идеалы равенства для личной выгоды. Это произведение служит напоминанием о том, как легко можно попасть в новую форму рабства, даже после долгожданной свободы.
Гарпер Ли;Убить пересмешника;1960;АСТ, 2018;679;445000;«Убить пересмешника» — это драматическое произведение о расизме, несправедливости и детской искренности в тяжёлые времена. В центре романа – мальчик по имени Джим, который сталкивается с несправедливостью в маленьком южном американском городке, где его отец защищает чернокожего мужчину, обвинённого в изнасиловании белой женщины. История рассказывает о взрослении, о борьбе с предвзятостью и предрассудками общества, а также о влиянии на молодых людей темных сторон человеческой природы.
Кен Кизи;Пролетая над гнездом кукушки;1962;Эксмо, 2019;689;129649;Кен Кизи был признан талантливейшим писателем, а роман стал одним из главных произведений для битников и хиппи. «Над кукушкиным гнездом» — это грубое и опустошающе честное изображение границ между здравомыслием и безумием. По мотивам романа был снят одноименный фильм (реж. Милош Форман, 1975), покоривший весь мир и получивший пять «Оскаров». А также поставлено множество спектаклей в разных странах, в том числе в России.
Виктор Гюго;Отверженные;1862;АСТ, 2020;469;441592;Эпопея о человеческих судьбах в послереволюционной Франции, где каждый персонаж переживает свою трагедию, сталкиваясь с жестокостью и несправедливостью общества. Роман раскрывает темы социальной справедливости, искупления и любви на фоне судьбы Жана Вальжана, бывшего заключённого, который пытается наладить свою жизнь, несмотря на многочисленные испытания. «Отверженные» также повествуют о любви к ближнему и пути нравственного очищения, призывая к терпимости и состраданию.
Джон Стейнбек;Гроздья гнева;1939;Азбука, 2020;599;654341;Этот роман Стейнбека стал важным произведением, рассказывающим о жизни фермеров, потерявших свою землю и вынужденных бороться за выживание во время Великой депрессии. История семьи Джоадов раскрывает жестокую реальность того времени, борьбу людей с бедностью, эксплуатацией и несправедливостью. Стейнбек мастерски показывает, как человек сохраняет достоинство, несмотря на самые тяжёлые обстоятельства, а также раскрывает тему коллективного действия и солидарности в условиях кризиса.
Томас Манн;Будденброки;1901;Эксмо, 2019;799;239000;В этом романе Манн описывает историю семьи Будденброков, представителей богатой буржуазной семьи в Германии, чья судьба символизирует падение старой аристократии и упадок немецкого общества конца XIX века. Трагедия семьи, её распад, болезни и смерть, становятся метафорой конца эпохи и целой цивилизации. «Будденброки» — это не только семейная сага, но и глубокий анализ социальных изменений и процессов, которые затронули всю Европу.
Чак Паланик;Бойцовский клуб;1996;АСТ, 2017;699;432776;Короткие броские фразы, яркие запоминающиеся образы, едкая сатира, черный юмор. Это – самая потрясающая и самая скандальная книга 1990-х. Книга, в которой устами Чака Паланика заговорило не просто «Поколение Икс», но – «поколение Икс» уже озлобленное, уже растерявшее свои последние иллюзии. «Бойцовский клуб» – самый знаменитый роман Чака Паланика. Все помнят фильм режиссера Дэвида Финчера с Брэдом Питтом в главной роли? Он именно по этой книге. Это роман-вызов, роман, созданный всем назло и вопреки всему, в нем описывается поколение озлобившихся людей, потерявших представление о том, что можно и чего нельзя, где добро и зло, кто они сами и кто их окружает. Сам Паланик называет свой «Бойцовский клуб» новым «Великим Гэтсби». Какие же они – эти Гэтсби конца XX века? Вы смотрели фильм «Бойцовский клуб»? Тогда – читайте книгу, по которой он был снят!
Фрэнсис Скотт Фицджеральд;Великий Гэтсби;1925;Рипол классик, 2015;639;777777;Это классика американской литературы о том, как стремление к богатству и славе может разрушить человека и его душу. Роман Фицджеральда раскрывает темы любви, страсти, социальных амбиций и иллюзорности американской мечты. Главный герой, Джей Гэтсби, стремится завоевать сердце Дейзи, несмотря на свою таинственную прошлую жизнь и неудачные попытки вернуть прошлое. Книга исследует фатальные последствия обмана, тщеславия и поисков идеала, разрушивших мечты героев.
Габриэль Гарсия Маркес;Сто лет одиночества;1967;Рипол классик, 2020;599;592999;Этот культовый роман Маркеса — один из величайших примеров магического реализма, в котором переплетаются мифология, реальность и фантазия. История семьи Буэндиа, члены которой снова и снова повторяют свои ошибки и судьбы, становится символом повторяющихся трагедий и цикличности человеческой жизни. Роман затрагивает темы любви, одиночества, судьбы и разочарования, а также поднимает вопросы исторической и личной памяти.
Юкио Мисима;Золотой храм;1956;Время, 2017;699;753100;В этом произведении Мисима исследует тему внутреннего конфликта между духовностью и реальностью, а также личную трагедию героя, который стремится к высшему идеалу, но сталкивается с разрушением своих идеалов. Рассказ о монахе, одержимом уничтожением Золотого храма, символизирует японское стремление к совершенству, в то время как темная сторона человеческой души сталкивается с трагическими последствиями.
Герман Мелвилл;Моби Дик;1851;Эксмо, 2018;379;324654;Этот роман о капитане Ахабе, который одержим идеей отомстить белому киту, стал символом борьбы человека с природой и собственными страстями. Мелвилл исследует человеческую природу, страсть к мести и неумолимость судьбы, создавая уникальную аллегорию, которая затрагивает вопросы поиска смысла жизни и философии существования. Это произведение, наполненное метафорами и философскими размышлениями, до сих пор остаётся одним из величайших американских романов.
Харпер Ли;Иди и смотри;1960;Азбука, 2020;429;535488;Этот роман рассказывает о взрослении подростка, который сталкивается с жестокой реальностью расовой дискриминации на Юге США в период Великой депрессии. Героиня, Скаут Финч, наблюдает за борьбой её отца, адвоката Аттикуса Финча, который защищает чернокожего мужчину, несправедливо обвинённого в преступлении. История затрагивает такие важные темы, как справедливость, мораль и расовые предрассудки, и помогает понять, как дети воспринимают сложные моральные дилеммы и взрослые события.
Кормак Маккарти;Старик и море;1952;АСТ, 2017;669;555112;Это философская притча о старом рыбаках, который в одиночку борется с гигантской рыбой, символизируя борьбу человека с природными стихиями и вечными вопросами жизни и смерти. Маккарти показывает, как в этом противостоянии выражается символ жизни и смерти, а также поиск смысла существования, заключённый в мужестве, уединении и одиночестве. История о Старике и море — это метафора внутренней борьбы, стремления к цели и поиску своей ценности в мире.
Михаил Булгаков;Мастер и Маргарита;1967;Рипол классик, 2015;519;904299;Бессмертное, загадочное и остроумное «Евангелие от Сатаны» Михаила Булгакова. Роман, уникальный в российской литературе ХХ столетия. Трудно себе представить, какое влияние он оказал на мировую культуру. На основе «Мастера и Маргариты» снимались и продолжают сниматься фильмы и телесериалы, это произведение легло в основу оперы, симфонии, рок-оперы, его иллюстрировали самые знаменитые художники и фотографы. Достаточно перечислить лишь немногих создателей произведений, посвященных шедевру Булгакова и им вдохновленных: Анджей Вайда, Эннио Морриконе, Мик Джаггер, Дэвид Боуи. Чем же заворожила столь разных творческих личностей история о дьяволе и его свите, почтивших своим присутствием Москву 1930-х, о прокураторе Иудеи всаднике Понтии Пилате и нищем философе Иешуа Га-Ноцри, о талантливом и несчастном Мастере и его прекрасной и верной возлюбленной Маргарите?..
Марк Твен;Приключения Тома Сойера;1876;Речь, 2019;499;900588;Один из самых знаменитых романов Марка Твена, «Приключения Тома Сойера», рассказывает историю юного Тома, который стремится к свободе и приключениям. Том живет в маленьком американском городке на берегу Миссисипи и проводит свои дни, спасая друзей, сталкиваясь с опасностями и находя пути выхода из сложных ситуаций. Роман о его юности полон озорных выходок и настоящих мальчишеских исканий, а также глубоких размышлений о дружбе, честности, любви и правде. Это не просто история о мальчике — это картина взрослого мира, через призму детского восприятия.
Иван Бунин;Темные аллеи;1946;Эксмо, 2020;479;765312;Этот сборник рассказов Иван Бунин создал в последние годы своей жизни, и он стал одной из самых лиричных и глубоко личных его работ. В «Темных аллеях» Бунин изображает не только внешнюю красоту русской природы, но и внутреннюю борьбу человека, его переживания и поиски смысла жизни. Каждый рассказ — это отдельная история, в которой переплетаются темы любви, страха, одиночества и утраты. В этих произведениях Бунин ищет ответ на вопросы о бренности жизни, о человеческих судьбах, которые сталкиваются с жестокими реалиями мира. Тонкость наблюдений за душой человека, поэтичность языка и трагичность образов делают этот сборник важнейшей вехой в русской литературе.